,Break-Even Goals,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Business Area,Goal #,Sidebar Name,Short Name,Full Name,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Business Inputs,,,,,,,,,,,,,,,,,,,,,,,,
description,'Business Inputs' refers to the materials and resources that the company depends upon.,,,,,,,,,,,,,,,,,,,,,,,,
,No business can be sustainable if its success relies on using inputs which are damaging to society or the environment to obtain.,,,,,,,,,,,,,,,,,,,,,,,,
,,BE01,Energy,Energy use,Energy is from renewable sources,,,,,,,,,,,,,,,,,,,,
,,BE02,Water,Water use,Water use is environmentally responsible and socially equitable,,,,,,,,,,,,,,,,,,,,
,,BE03,Natural resource management,Natural resource management,"Natural resources are managed to respect the welfare of ecosystems, people and animals",,,,,,,,,,,,,,,,,,,,
,,BE04,Procurement,Procurement,Procurement safeguards the pursuit of future-fitness,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Operational Activities,,,,,,,,,,,,,,,,,,,,,,,,
description,'Operational Activities' refers to the business processes of the company itself.,,,,,,,,,,,,,,,,,,,,,,,,
,"To be sustainable, a company must be accountable for eliminating any negative environmental and social impacts caused by its own activities.",,,,,,,,,,,,,,,,,,,,,,,,
,,BE05,Emissions,Operational emissions,Operational emissions do not harm people or the environment,,,,,,,,,,,,,,,,,,,,
,,BE06,GHGs,Operational GHGs,Operations emit no greenhouse gases,,,,,,,,,,,,,,,,,,,,
,,BE07,Waste from operations,Waste from operations,Operational waste is eliminated,,,,,,,,,,,,,,,,,,,,
,,BE08,Physical presence,Physical presence,Operations do not encroach on ecosystems or communities,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Employees,,,,,,,,,,,,,,,,,,,,,,,,
description,"Employees' refers to the people that work directly for the company (as opposed to workers of independent, arm's-length suppliers).",,,,,,,,,,,,,,,,,,,,,,,,
,"To be sustainable, a company must ensure its employees have what they need to cover the basic needs of themselves and their families, and are given support to help them work responsibly.",,,,,,,,,,,,,,,,,,,,,,,,
,,BE10,Health,Employee health,Employee health is safeguarded,,,,,,,,,,,,,,,,,,,,
,,BE11,Wages,Employee wages,Employees are paid at least a living wage,,,,,,,,,,,,,,,,,,,,
,,BE12,Contracts,Employee contracts,Employees are subject to fair employment terms,,,,,,,,,,,,,,,,,,,,
,,BE13,Anti-discrimination,Anti-discrimination,Employees are not subject to discrimination,,,,,,,,,,,,,,,,,,,,
,,BE14,Engagement,Employee engagement,"Employee concerns are actively solicited, impartially judged and transparently addressed",,,,,,,,,,,,,,,,,,,,
,,BE20,Ethical risk management,Ethical risk management,Business is conducted ethically ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Products,,,,,,,,,,,,,,,,,,,,,,,,
description,'Products' refers to the revenue-generating goods and services offered by a company.,,,,,,,,,,,,,,,,,,,,,,,,
,"To be sustainable, a company must do all it can to ensure that the goods and services it offers do not harm people or the environment - particularly the people who purchase and use them.",,,,,,,,,,,,,,,,,,,,,,,,
,,BE15,Communications,Product communications,"Product communications are honest, ethical, and promote responsible use",,,,,,,,,,,,,,,,,,,,
,,BE16,Customer engagement,Customer engagement,"Product concerns are actively solicited, impartially judged and transparently addressed",,,,,,,,,,,,,,,,,,,,
,,BE17,Characteristics,Product characteristics,Products do not harm people or the environment,,,,,,,,,,,,,,,,,,,,
,,BE18,GHGs,Product GHGs,Products emit no greenhouse gases,,,,,,,,,,,,,,,,,,,,
,,BE19,Repurposing,Product repurposing,Products can be repurposed,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Corporate Citizenship,,,,,,,,,,,,,,,,,,,,,,,,
description,"Corporate Citizenship' refers to how the company supports, benefits from, and interacts with the society it operates in.",,,,,,,,,,,,,,,,,,,,,,,,
,"A company must behave ethically, and must in no way undermine the integrity of the societal institutions and physical infrastructure we all rely on.",,,,,,,,,,,,,,,,,,,,,,,,
,,BE09,Community engagement,Community engagement,Community health is safeguarded,,,,,,,,,,,,,,,,,,,,
,,BE21,Tax commitments,Tax commitments,The right tax is paid in the right place at the right time,,,,,,,,,,,,,,,,,,,,
,,BE22,Corporate influence,Corporate influence,Lobbying and advocacy safeguard the pursuit of future-fitness,,,,,,,,,,,,,,,,,,,,
,,BE23,Financial assets,Financial assets,Financial assets safeguard the pursuit of future-fitness,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,,,,,,
